fa85c81|2026-06-27|docs(hwp): scope compatibility matrix to 3.7.50
60b1650|2026-06-27|chore(release): bump version to 3.7.50
5d4869e|2026-06-27|feat(docx): SuperDoc viewer dark mode via VS Code theme vars
4ec69c4|2026-06-27|docs(devlog): rhwp re-pin decision R1 = RE-PIN to v0.7.16
615fcd3|2026-06-27|docs(devlog): add rhwp catch-up playbook
3c1bd1a|2026-06-27|docs: record rhwp commit gap + SuperDoc parity chase
d0cf7aa|2026-06-27|docs(devlog): record upstream/rhwp parity chase backlog (dark mode)
4fb7d14|2026-06-27|chore(devlog): archive superdoc migration verification artifact
8f563c0|2026-06-11|docs: archive post-release stabilization plan
40d4b8e|2026-06-11|chore: stabilize post-release workflow and docs
87b214f|2026-06-11|chore: bump release version to 3.7.49
d0e11f1|2026-06-11|ci: publish registries from release tags
942ae80|2026-06-11|docs: publish release trust evidence
ba4db08|2026-06-11|ci: add release artifact trust gate
8ae396d|2026-06-11|docs: expand competitive release follow-up plan
4710eda|2026-06-11|docs: plan competitive release trust track
bd71481|2026-06-10|chore: bump release version to 3.7.48
40ace54|2026-06-10|Archive baseline devlog plan
a86c2aa|2026-06-10|chore: close legacy cleanup plan
3c82837|2026-06-10|docs(docx): archive superdoc migration close gate
0e54d1f|2026-06-10|docs(docx): record superdoc close gate blocker
493121b|2026-06-10|docs(devlog): archive superseded plan folders
48a5d60|2026-06-10|docs(devlog): archive repo structure audit
0514e28|2026-06-10|test(docx): split provider guard assertions
c3e2b53|2026-06-10|docs(devlog): clear docx e2e review gate
9440539|2026-06-10|test(docx): strengthen split repair guards
2ce8730|2026-06-10|docs(devlog): record 03-series review gate
a5119a7|2026-06-10|refactor(docx): execute 03-series structure guards
e8cee5b|2026-06-10|docs(devlog): expand dev skill patch guides
e9303da|2026-06-10|docs(structure): resolve audit drift findings
715e06d|2026-06-10|docs(structure): refresh architecture and devlog map
8ab42c2|2026-06-10|docs(devlog): archive completed plan folders
643b63b|2026-06-09|[agent] chore: clean up stale plan docs
ddbbcf5|2026-06-09|docs(docx): record SuperDoc save runtime QA
2ccbd2b|2026-06-09|fix(docx): harden SuperDoc save export
a0b7f93|2026-06-09|fix(docx): route SuperDoc saves through VS Code lifecycle
83f1a82|2026-06-09|fix(docx): retry SuperDoc webview restore handshake
fe26046|2026-06-09|docs(docx): retain SuperDoc visual QA artifacts
7a6233f|2026-06-09|fix(docx): center SuperDoc document rail
b32cf84|2026-06-09|fix(docx): stabilize SuperDoc layout rendering
9aa136f|2026-06-09|docs(docx): record black-screen capture blocker
0e766c6|2026-06-09|docs(docx): record post-TypeError verification blocker
717dad7|2026-06-09|fix(docx): circuit-break noisy SuperDoc exports
cdda48e|2026-06-09|docs(docx): record lock-screen CU blocker
46f302a|2026-06-09|fix(docx): smooth SuperDoc mode switching
c693f09|2026-06-09|fix(docx): stabilize SuperDoc save and reload flow
87c4e26|2026-06-09|fix(docx): align SuperDoc dirty state with VS Code save lifecycle
f8ed6a3|2026-06-09|docs(docx): record SuperDoc VSIX smoke verification
0484713|2026-06-09|fix(docx): keep SuperDoc lifecycle exceptions nonfatal
31a16e9|2026-06-09|fix(docx): ignore save shortcut in SuperDoc viewer mode
58ffe72|2026-06-09|chore(docx): pin verified SuperDoc runtime
eb6dd7f|2026-06-09|docs: switch project license to AGPL for SuperDoc
